"","id1","id2","thetar","thetas","alpha","n","ksat","l","thrim","thsim","omega","pulse","array(serr)"
"179",58,6,0.01,0.44,0.01,1.45,0.2,0.5,0.15,0.25,0.5,12,50492.2407436634
"180",59,6,0.01,0.44,0.0125,1.45,0.2,0.5,0.15,0.25,0.5,12,42639.1973953644
"181",60,6,0.01,0.44,0.015,1.45,0.2,0.5,0.15,0.25,0.5,12,58088.7782147056
"182",61,6,0.01,0.44,0.0175,1.45,0.2,0.5,0.15,0.25,0.5,12,81407.3784503949
"183",62,6,0.01,0.44,0.02,1.45,0.2,0.5,0.15,0.25,0.5,12,111488.625936162
"184",63,6,0.01,0.44,0.0225,1.45,0.2,0.5,0.15,0.25,0.5,12,143459.468053352
"185",64,6,0.01,0.44,0.025,1.45,0.2,0.5,0.15,0.25,0.5,12,179559.031237064
"186",65,6,0.01,0.44,0.0275,1.45,0.2,0.5,0.15,0.25,0.5,12,217578.210223487
"187",66,6,0.01,0.44,0.03,1.45,0.2,0.5,0.15,0.25,0.5,12,255780.498250999
"188",67,6,0.01,0.44,0.005,1.45,0.22,0.5,0.15,0.25,0.5,12,820743.125851194
"189",68,6,0.01,0.44,0.0075,1.45,0.22,0.5,0.15,0.25,0.5,12,189891.333058688
"190",69,6,0.01,0.44,0.01,1.45,0.22,0.5,0.15,0.25,0.5,12,60449.5940180662
"191",70,6,0.01,0.44,0.0125,1.45,0.22,0.5,0.15,0.25,0.5,12,42546.6852038068
"192",71,6,0.01,0.44,0.015,1.45,0.22,0.5,0.15,0.25,0.5,12,53070.7210372422
"193",72,6,0.01,0.44,0.0175,1.45,0.22,0.5,0.15,0.25,0.5,12,70052.5941397243
"194",73,6,0.01,0.44,0.02,1.45,0.22,0.5,0.15,0.25,0.5,12,97559.2943582841
"195",74,6,0.01,0.44,0.0225,1.45,0.22,0.5,0.15,0.25,0.5,12,127853.02951616
"196",75,6,0.01,0.44,0.025,1.45,0.22,0.5,0.15,0.25,0.5,12,160866.687372771
"197",76,6,0.01,0.44,0.0275,1.45,0.22,0.5,0.15,0.25,0.5,12,196325.868986753
"198",77,6,0.01,0.44,0.03,1.45,0.22,0.5,0.15,0.25,0.5,12,233741.882185737
"199",78,6,0.01,0.44,0.005,1.45,0.24,0.5,0.15,0.25,0.5,12,936824.482420398
"200",79,6,0.01,0.44,0.0075,1.45,0.24,0.5,0.15,0.25,0.5,12,225722.490953986
"201",80,6,0.01,0.44,0.01,1.45,0.24,0.5,0.15,0.25,0.5,12,68567.4322932013
"202",81,6,0.01,0.44,0.0125,1.45,0.24,0.5,0.15,0.25,0.5,12,45361.17738332
"203",82,6,0.01,0.44,0.015,1.45,0.24,0.5,0.15,0.25,0.5,12,47409.7414515103
"204",83,6,0.01,0.44,0.0175,1.45,0.24,0.5,0.15,0.25,0.5,12,62381.460709049
"205",84,6,0.01,0.44,0.02,1.45,0.24,0.5,0.15,0.25,0.5,12,86240.2360290699
"206",85,6,0.01,0.44,0.0225,1.45,0.24,0.5,0.15,0.25,0.5,12,114502.793497246
"207",86,6,0.01,0.44,0.025,1.45,0.24,0.5,0.15,0.25,0.5,12,145308.371407672
"208",87,6,0.01,0.44,0.0275,1.45,0.24,0.5,0.15,0.25,0.5,12,178266.048708521
"209",88,6,0.01,0.44,0.03,1.45,0.24,0.5,0.15,0.25,0.5,12,213294.154772855
"210",89,6,0.01,0.44,0.005,1.45,0.26,0.5,0.15,0.25,0.5,12,1054670.79683747
"211",90,6,0.01,0.44,0.0075,1.45,0.26,0.5,0.15,0.25,0.5,12,263255.768539749
"212",91,6,0.01,0.44,0.01,1.45,0.26,0.5,0.15,0.25,0.5,12,77290.4804232388
"213",92,6,0.01,0.44,0.0125,1.45,0.26,0.5,0.15,0.25,0.5,12,37324.4042689178
"214",93,6,0.01,0.44,0.015,1.45,0.26,0.5,0.15,0.25,0.5,12,39831.7124990091
"215",94,6,0.01,0.44,0.0175,1.45,0.26,0.5,0.15,0.25,0.5,12,55995.7148417805
"216",95,6,0.01,0.44,0.02,1.45,0.26,0.5,0.15,0.25,0.5,12,75816.5748084622
"217",96,6,0.01,0.44,0.0225,1.45,0.26,0.5,0.15,0.25,0.5,12,103219.648487099
"218",97,6,0.01,0.44,0.025,1.45,0.26,0.5,0.15,0.25,0.5,12,132509.937172862
"219",98,6,0.01,0.44,0.0275,1.45,0.26,0.5,0.15,0.25,0.5,12,163138.869238016
"220",99,6,0.01,0.44,0.03,1.45,0.26,0.5,0.15,0.25,0.5,12,195974.551369131
"221",100,6,0.01,0.44,0.005,1.45,0.28,0.5,0.15,0.25,0.5,12,1171398.68466478
"222",101,6,0.01,0.44,0.0075,1.45,0.28,0.5,0.15,0.25,0.5,12,303151.631640981
"223",102,6,0.01,0.44,0.01,1.45,0.28,0.5,0.15,0.25,0.5,12,91224.1012511767
"224",103,6,0.01,0.44,0.0125,1.45,0.28,0.5,0.15,0.25,0.5,12,36945.6708870267
"225",104,6,0.01,0.44,0.015,1.45,0.28,0.5,0.15,0.25,0.5,12,34945.8567504116
"226",105,6,0.01,0.44,0.0175,1.45,0.28,0.5,0.15,0.25,0.5,12,47628.2991563533
"227",106,6,0.01,0.44,0.02,1.45,0.28,0.5,0.15,0.25,0.5,12,68114.0068647089
"228",107,6,0.01,0.44,0.0225,1.45,0.28,0.5,0.15,0.25,0.5,12,92373.5081146645
"229",108,6,0.01,0.44,0.025,1.45,0.28,0.5,0.15,0.25,0.5,12,120248.874382126
"230",109,6,0.01,0.44,0.0275,1.45,0.28,0.5,0.15,0.25,0.5,12,150294.800423153
"231",110,6,0.01,0.44,0.03,1.45,0.28,0.5,0.15,0.25,0.5,12,181474.675652535
"232",111,6,0.01,0.44,0.005,1.45,0.3,0.5,0.15,0.25,0.5,12,1286335.85335384
"233",112,6,0.01,0.44,0.0075,1.45,0.3,0.5,0.15,0.25,0.5,12,343041.663798183
"234",113,6,0.01,0.44,0.01,1.45,0.3,0.5,0.15,0.25,0.5,12,106629.205108758
"235",114,6,0.01,0.44,0.0125,1.45,0.3,0.5,0.15,0.25,0.5,12,42256.8011394081
"236",115,6,0.01,0.44,0.015,1.45,0.3,0.5,0.15,0.25,0.5,12,32666.5775664992
"237",116,6,0.01,0.44,0.0175,1.45,0.3,0.5,0.15,0.25,0.5,12,42291.3915490672
"238",117,6,0.01,0.44,0.02,1.45,0.3,0.5,0.15,0.25,0.5,12,61252.6482679978
"239",118,6,0.01,0.44,0.0225,1.45,0.3,0.5,0.15,0.25,0.5,12,84041.4402199831
"240",119,6,0.01,0.44,0.025,1.45,0.3,0.5,0.15,0.25,0.5,12,110205.978651425
"241",120,6,0.01,0.44,0.0275,1.45,0.3,0.5,0.15,0.25,0.5,12,137826.836809655
"242",121,6,0.01,0.44,0.03,1.45,0.3,0.5,0.15,0.25,0.5,12,168297.522651138
"243",1,6,0.01,0.44,0.005,1.45,0.2,0.01,0.15,0.25,0.5,12,782109.116107277
"244",2,6,0.01,0.44,0.0075,1.45,0.2,0.01,0.15,0.25,0.5,12,182236.816956452
"245",3,6,0.01,0.44,0.01,1.45,0.2,0.01,0.15,0.25,0.5,12,60248.9352975365
"246",4,6,0.01,0.44,0.0125,1.45,0.2,0.01,0.15,0.25,0.5,12,42969.5402067136
"247",5,6,0.01,0.44,0.015,1.45,0.2,0.01,0.15,0.25,0.5,12,56027.1139041256
"248",6,6,0.01,0.44,0.0175,1.45,0.2,0.01,0.15,0.25,0.5,12,77353.1442505229
"249",7,6,0.01,0.44,0.02,1.45,0.2,0.01,0.15,0.25,0.5,12,102836.871172938
"250",8,6,0.01,0.44,0.0225,1.45,0.2,0.01,0.15,0.25,0.5,12,132009.95978986
"251",9,6,0.01,0.44,0.025,1.45,0.2,0.01,0.15,0.25,0.5,12,161591.069921371
"252",10,6,0.01,0.44,0.0275,1.45,0.2,0.01,0.15,0.25,0.5,12,195211.16698947
"253",11,6,0.01,0.44,0.03,1.45,0.2,0.01,0.15,0.25,0.5,12,229552.068116264
"254",12,6,0.01,0.44,0.005,1.45,0.2,0.108,0.15,0.25,0.5,12,766385.296331761
"255",13,6,0.01,0.44,0.0075,1.45,0.2,0.108,0.15,0.25,0.5,12,176614.948144506
"256",14,6,0.01,0.44,0.01,1.45,0.2,0.108,0.15,0.25,0.5,12,58345.1676548063
"257",15,6,0.01,0.44,0.0125,1.45,0.2,0.108,0.15,0.25,0.5,12,42833.0799637601
"258",16,6,0.01,0.44,0.015,1.45,0.2,0.108,0.15,0.25,0.5,12,56110.6199419589
"259",17,6,0.01,0.44,0.0175,1.45,0.2,0.108,0.15,0.25,0.5,12,77415.3121943836
"260",18,6,0.01,0.44,0.02,1.45,0.2,0.108,0.15,0.25,0.5,12,104019.914432426
