oid,qid,cid,dist
396,36,11,62.87991138
397,37,1,315.3282394
398,37,2,276.2706395
399,37,3,242.9969091
400,37,4,210.4691072
401,37,5,176.4294789
402,37,6,145.178636
403,37,7,110.4964755
404,37,8,79.32771941
405,37,9,47.08485558
406,37,10,24.13467646
407,37,11,37.76312227
408,38,1,327.2872168
409,38,2,289.2336206
410,38,3,257.1432915
411,38,4,225.9168317
412,38,5,193.7207438
413,38,6,163.5114308
414,38,7,130.903992
415,38,8,102.9967325
416,38,9,75.60614085
417,38,10,56.35153228
418,38,11,57.16847381
419,39,1,335.1175237
420,39,2,297.7834639
421,39,3,266.5074743
422,39,4,236.1772401
423,39,5,205.1946213
424,39,6,175.808579
425,39,7,144.6143167
426,39,8,118.5739299
427,39,9,93.39750398
428,39,10,75.40795054
429,39,11,73.27828514
430,40,1,360.0301674
431,40,2,322.1841462
432,40,3,290.2744942
433,40,4,259.1748182
434,40,5,227.022429
435,40,6,196.7557499
436,40,7,163.861247
437,40,8,135.0747603
438,40,9,105.2437271
439,40,10,78.26585723
440,40,11,64.35249713
441,41,1,348.0249301
442,41,2,309.5147437
443,41,3,276.858266
444,41,4,244.9607651
445,41,5,211.741342
446,41,6,180.8590764
447,41,7,146.870298
448,41,8,116.579906
449,41,9,84.84761378
450,41,10,55.65654519
451,41,11,42.73516078
452,42,1,348.3971525
453,42,2,309.1705324
454,42,3,275.6627454
455,42,4,242.8497218
456,42,5,208.3291936
457,42,6,176.8930563
458,42,7,141.7026596
459,42,8,109.4211481
460,42,9,74.72962949
461,42,10,39.08570297
462,42,11,16.29337349
