Date,C1,C2,C3,H1,H2,H3,L1,L2,L3,N1,N2
2/18/2015 10:45:00,0.020374197,0.020374197,0.020374197,0.020374197,0.020374197,0.020374197,0.020374197,0.020374197,0.020374197,0,0
2/18/2015 11:00:00,0.020374197,0.020374197,0.020374197,0.020374197,0.020374197,0.020374197,0.020374197,0.020374197,0.020374197,0,0
2/18/2015 11:15:00,0.020374197,0.020374197,0.020374197,0.020374197,0.020374197,0.020374197,0.020374197,0.020374197,0.020374197,0,0
2/18/2015 11:30:00,0.020374197,0.020374197,0.020374197,0.020374197,0.020374197,0.020374197,0.020374197,0.020374197,0.020374197,0,0
2/18/2015 11:45:00,0.020147817,0.020147817,0.020147817,0.020147817,0.020147817,0.020147817,0.020147817,0.020147817,0.020147817,0,0
2/18/2015 12:00:00,0.020374197,0.020374197,0.020374197,0.020374197,0.020374197,0.020374197,0.020374197,0.020374197,0.020374197,0,0
2/18/2015 12:15:00,0.020374197,0.020374197,0.020374197,0.020374197,0.020374197,0.020374197,0.020374197,0.020374197,0.020374197,0,0
2/18/2015 12:30:00,0.020147817,0.020147817,0.020147817,0.020147817,0.020147817,0.020147817,0.020147817,0.020147817,0.020147817,0,0
2/18/2015 12:44:50,0.019365212,0.019365212,0.019365212,0.019365212,0.019365212,0.019365212,0.019365212,0.019365212,0.019365212,0,0
2/18/2015 13:00:00,0.010947684,0.010947684,0.010947684,0.010947684,0.010947684,0.010947684,0.010947684,0.010947684,0.010947684,0,0
2/18/2015 13:15:00,0.001493419,0.001493419,0.001493419,0.001493419,0.001493419,0.001493419,0.001493419,0.001493419,0.001493419,0,0
2/18/2015 13:30:00,0.002305122,0.002305122,0.002305122,0.002305122,0.002305122,0.002305122,0.002305122,0.002305122,0.002305122,0,0
2/18/2015 13:45:00,0.007011555,0.007011555,0.007011555,0.007011555,0.007011555,0.007011555,0.007011555,0.007011555,0.007011555,0,0
2/18/2015 14:00:00,0.00612662,0.00612662,0.00612662,0.00612662,0.00612662,0.00612662,0.00612662,0.00612662,0.00612662,0,0
2/18/2015 14:15:00,0.006134476,0.006134476,0.006134476,0.006134476,0.006134476,0.006134476,0.006134476,0.006134476,0.006134476,0,0
2/18/2015 14:30:00,0.006117973,0.006117973,0.006117973,0.006117973,0.006117973,0.006117973,0.006117973,0.006117973,0.006117973,0,0
2/18/2015 14:45:00,0.006129502,0.006129502,0.006129502,0.006129502,0.006129502,0.006129502,0.006129502,0.006129502,0.006129502,0,0
2/18/2015 15:00:00,0.006104505,0.006104505,0.006104505,0.006104505,0.006104505,0.006104505,0.006104505,0.006104505,0.006104505,0,0
2/18/2015 15:15:00,0.0060867,0.0060867,0.0060867,0.0060867,0.0060867,0.0060867,0.0060867,0.0060867,0.0060867,0,0
2/18/2015 15:30:00,0.006133252,0.006133252,0.006133252,0.006133252,0.006133252,0.006133252,0.006133252,0.006133252,0.006133252,0,0
2/18/2015 15:45:00,0.006128737,0.006128737,0.006128737,0.006128737,0.006128737,0.006128737,0.006128737,0.006128737,0.006128737,0,0
2/18/2015 16:00:00,0.006112769,0.006112769,0.006112769,0.006112769,0.006112769,0.006112769,0.006112769,0.006112769,0.006112769,0,0
2/18/2015 16:15:00,0.006147408,0.006147408,0.006147408,0.006147408,0.006147408,0.006147408,0.006147408,0.006147408,0.006147408,0,0
2/18/2015 16:30:00,0.006108943,0.006108943,0.006108943,0.006108943,0.006108943,0.006108943,0.006108943,0.006108943,0.006108943,0,0
2/18/2015 16:45:00,0.006109249,0.006109249,0.006109249,0.006109249,0.006109249,0.006109249,0.006109249,0.006109249,0.006109249,0,0
2/18/2015 17:00:00,0.00611736,0.00611736,0.00611736,0.00611736,0.00611736,0.00611736,0.00611736,0.00611736,0.00611736,0,0
2/18/2015 17:15:00,0.006125982,0.006125982,0.006125982,0.006125982,0.006125982,0.006125982,0.006125982,0.006125982,0.006125982,0,0
2/18/2015 17:30:00,0.006111009,0.006111009,0.006111009,0.006111009,0.006111009,0.006111009,0.006111009,0.006111009,0.006111009,0,0
2/18/2015 17:45:00,0.006140317,0.006140317,0.006140317,0.006140317,0.006140317,0.006140317,0.006140317,0.006140317,0.006140317,0,0
2/18/2015 18:00:00,0.006134859,0.006134859,0.006134859,0.006134859,0.006134859,0.006134859,0.006134859,0.006134859,0.006134859,0,0
2/18/2015 18:15:00,0.006109861,0.006109861,0.006109861,0.006109861,0.006109861,0.006109861,0.006109861,0.006109861,0.006109861,0,0
2/18/2015 18:30:00,0.00616307,0.00616307,0.00616307,0.00616307,0.00616307,0.00616307,0.00616307,0.00616307,0.00616307,0,0
2/18/2015 18:45:00,0.00613218,0.00613218,0.00613218,0.00613218,0.00613218,0.00613218,0.00613218,0.00613218,0.00613218,0,0
2/18/2015 19:00:00,0.006125446,0.006125446,0.006125446,0.006125446,0.006125446,0.006125446,0.006125446,0.006125446,0.006125446,0,0
2/18/2015 19:15:00,0.006077798,0.006077798,0.006077798,0.006077798,0.006077798,0.006077798,0.006077798,0.006077798,0.006077798,0,0
2/18/2015 19:30:00,0.006125395,0.006125395,0.006125395,0.006125395,0.006125395,0.006125395,0.006125395,0.006125395,0.006125395,0,0
2/18/2015 19:45:00,0.006107183,0.006107183,0.006107183,0.006107183,0.006107183,0.006107183,0.006107183,0.006107183,0.006107183,0,0
2/18/2015 20:00:00,0.006099199,0.006099199,0.006099199,0.006099199,0.006099199,0.006099199,0.006099199,0.006099199,0.006099199,0,0
2/18/2015 20:15:00,0.006080247,0.006080247,0.006080247,0.006080247,0.006080247,0.006080247,0.006080247,0.006080247,0.006080247,0,0
2/18/2015 20:30:00,0.006168452,0.006168452,0.006168452,0.006168452,0.006168452,0.006168452,0.006168452,0.006168452,0.006168452,0,0
2/18/2015 20:45:00,0.006113024,0.006113024,0.006113024,0.006113024,0.006113024,0.006113024,0.006113024,0.006113024,0.006113024,0,0
2/18/2015 21:00:00,0.006078563,0.006078563,0.006078563,0.006078563,0.006078563,0.006078563,0.006078563,0.006078563,0.006078563,0,0
2/18/2015 21:15:00,0.006082007,0.006082007,0.006082007,0.006082007,0.006082007,0.006082007,0.006082007,0.006082007,0.006082007,0,0
2/18/2015 21:30:00,0.006090093,0.006090093,0.006090093,0.006090093,0.006090093,0.006090093,0.006090093,0.006090093,0.006090093,0,0
2/18/2015 21:45:00,0.006138175,0.006138175,0.006138175,0.006138175,0.006138175,0.006138175,0.006138175,0.006138175,0.006138175,0,0
2/18/2015 22:00:00,0.006084864,0.006084864,0.006084864,0.006084864,0.006084864,0.006084864,0.006084864,0.006084864,0.006084864,0,0
2/18/2015 22:15:00,0.006082364,0.006082364,0.006082364,0.006082364,0.006082364,0.006082364,0.006082364,0.006082364,0.006082364,0,0
2/18/2015 22:30:00,0.006038976,0.006038976,0.006038976,0.006038976,0.006038976,0.006038976,0.006038976,0.006038976,0.006038976,0,0
2/18/2015 22:45:00,0.006091853,0.006091853,0.006091853,0.006091853,0.006091853,0.006091853,0.006091853,0.006091853,0.006091853,0,0
2/18/2015 23:00:00,0.006087593,0.006087593,0.006087593,0.006087593,0.006087593,0.006087593,0.006087593,0.006087593,0.006087593,0,0
2/18/2015 23:15:00,0.006077237,0.006077237,0.006077237,0.006077237,0.006077237,0.006077237,0.006077237,0.006077237,0.006077237,0,0
2/18/2015 23:30:00,0.006039613,0.006039613,0.006039613,0.006039613,0.006039613,0.006039613,0.006039613,0.006039613,0.006039613,0,0
2/18/2015 23:45:00,0.006078946,0.006078946,0.006078946,0.006078946,0.006078946,0.006078946,0.006078946,0.006078946,0.006078946,0,0
2/19/2015 0:00:00,0.006042572,0.006042572,0.006042572,0.006042572,0.006042572,0.006042572,0.006042572,0.006042572,0.006042572,0,0
2/19/2015 0:15:00,0.006042853,0.006042853,0.006042853,0.006042853,0.006042853,0.006042853,0.006042853,0.006042853,0.006042853,0,0
2/19/2015 0:30:00,0.006051219,0.006051219,0.006051219,0.006051219,0.006051219,0.006051219,0.006051219,0.006051219,0.006051219,0,0
2/19/2015 0:45:00,0.00607188,0.00607188,0.00607188,0.00607188,0.00607188,0.00607188,0.00607188,0.00607188,0.00607188,0,0
2/19/2015 1:00:00,0.006020483,0.006020483,0.006020483,0.006020483,0.006020483,0.006020483,0.006020483,0.006020483,0.006020483,0,0
2/19/2015 1:15:00,0.006093001,0.006093001,0.006093001,0.006093001,0.006093001,0.006093001,0.006093001,0.006093001,0.006093001,0,0
2/19/2015 1:30:00,0.006025686,0.006025686,0.006025686,0.006025686,0.006025686,0.006025686,0.006025686,0.006025686,0.006025686,0,0
2/19/2015 1:45:00,0.006018493,0.006018493,0.006018493,0.006018493,0.006018493,0.006018493,0.006018493,0.006018493,0.006018493,0,0
2/19/2015 2:00:00,0.006008877,0.006008877,0.006008877,0.006008877,0.006008877,0.006008877,0.006008877,0.006008877,0.006008877,0,0
2/19/2015 2:15:00,0.006036629,0.006036629,0.006036629,0.006036629,0.006036629,0.006036629,0.006036629,0.006036629,0.006036629,0,0
2/19/2015 2:30:00,0.00600579,0.00600579,0.00600579,0.00600579,0.00600579,0.00600579,0.00600579,0.00600579,0.00600579,0,0
2/19/2015 2:45:00,0.005979441,0.005979441,0.005979441,0.005979441,0.005979441,0.005979441,0.005979441,0.005979441,0.005979441,0,0
2/19/2015 3:00:00,0.005979135,0.005979135,0.005979135,0.005979135,0.005979135,0.005979135,0.005979135,0.005979135,0.005979135,0,0
2/19/2015 3:15:00,0.005997016,0.005997016,0.005997016,0.005997016,0.005997016,0.005997016,0.005997016,0.005997016,0.005997016,0,0
2/19/2015 3:30:00,0.005920263,0.005920263,0.005920263,0.005920263,0.005920263,0.005920263,0.005920263,0.005920263,0.005920263,0,0
2/19/2015 3:45:00,0.005937761,0.005937761,0.005937761,0.005937761,0.005937761,0.005937761,0.005937761,0.005937761,0.005937761,0,0
2/19/2015 4:00:00,0.005948806,0.005948806,0.005948806,0.005948806,0.005948806,0.005948806,0.005948806,0.005948806,0.005948806,0,0
2/19/2015 4:15:00,0.005893557,0.005893557,0.005893557,0.005893557,0.005893557,0.005893557,0.005893557,0.005893557,0.005893557,0,0
2/19/2015 4:30:00,0.005911081,0.005911081,0.005911081,0.005911081,0.005911081,0.005911081,0.005911081,0.005911081,0.005911081,0,0
2/19/2015 4:45:00,0.005951127,0.005951127,0.005951127,0.005951127,0.005951127,0.005951127,0.005951127,0.005951127,0.005951127,0,0
2/19/2015 5:00:00,0.005876926,0.005876926,0.005876926,0.005876926,0.005876926,0.005876926,0.005876926,0.005876926,0.005876926,0,0
2/19/2015 5:15:00,0.005931563,0.005931563,0.005931563,0.005931563,0.005931563,0.005931563,0.005931563,0.005931563,0.005931563,0,0
2/19/2015 5:30:00,0.005916998,0.005916998,0.005916998,0.005916998,0.005916998,0.005916998,0.005916998,0.005916998,0.005916998,0,0
2/19/2015 5:45:00,0.005905214,0.005905214,0.005905214,0.005905214,0.005905214,0.005905214,0.005905214,0.005905214,0.005905214,0,0
2/19/2015 6:00:00,0.005877359,0.005877359,0.005877359,0.005877359,0.005877359,0.005877359,0.005877359,0.005877359,0.005877359,0,0
2/19/2015 6:15:00,0.005921998,0.005921998,0.005921998,0.005921998,0.005921998,0.005921998,0.005921998,0.005921998,0.005921998,0,0
2/19/2015 6:30:00,0.005878533,0.005878533,0.005878533,0.005878533,0.005878533,0.005878533,0.005878533,0.005878533,0.005878533,0,0
